title,category,pattern_en,pattern_cn,example_en,example_cn,slots,usage_note,difficulty,tag,source_order,source
损害,结果影响,[Problem] may undermine [value/system].,[问题]可能损害[价值/系统]。,Academic dishonesty may undermine trust in the education system.,学术不诚信可能损害人们对教育体系的信任。,[Problem]; [value/system].,适用于六级作文/翻译中的“结果影响”功能。,3,CET6-Writing,69,P10.1.1 curated seed
改善,结果影响,[Measure] can improve [situation] to a large extent.,[措施]能在很大程度上改善[情况]。,A reasonable schedule can improve study efficiency to a large extent.,合理的时间表能在很大程度上提高学习效率。,[Measure]; [situation],适用于六级作文/翻译中的“结果影响”功能。,3,CET6-Writing,70,P10.1.1 curated seed
采取措施,解决措施,Effective measures should be taken to [goal].,应采取有效措施来[目标]。,Effective measures should be taken to reduce food waste on campus.,应采取有效措施减少校园食品浪费。,[goal].,适用于六级作文/翻译中的“解决措施”功能。,1,CET6-Writing,71,P10.1.1 curated seed
政府措施,解决措施,The government should [action] in order to [goal].,政府应[行动]以便[目标]。,The government should improve public transportation in order to reduce traffic pressure.,政府应改善公共交通，以减轻交通压力。,[action]; [goal].,适用于六级作文/翻译中的“解决措施”功能。,1,CET6-Writing,72,P10.1.1 curated seed
学校措施,解决措施,Universities are supposed to [action].,大学应该[行动]。,Universities are supposed to provide more mental health services.,大学应该提供更多心理健康服务。,[action].,适用于六级作文/翻译中的“解决措施”功能。,1,CET6-Writing,73,P10.1.1 curated seed
个人措施,解决措施,Individuals should make conscious efforts to [action].,个人应有意识地努力[行动]。,Individuals should make conscious efforts to protect personal information online.,个人应有意识地努力保护网络个人信息。,[action].,适用于六级作文/翻译中的“解决措施”功能。,2,CET6-Writing,74,P10.1.1 curated seed
共同努力,解决措施,Only through joint efforts can we [goal].,只有通过共同努力，我们才能[目标]。,Only through joint efforts can we build a more inclusive society.,只有通过共同努力，我们才能建设一个更加包容的社会。,[goal].,适用于六级作文/翻译中的“解决措施”功能。,2,CET6-Writing,75,P10.1.1 curated seed
加强意识,解决措施,It is necessary to raise people’s awareness of [issue].,有必要提高人们对[问题]的意识。,It is necessary to raise people's awareness of environmental protection.,有必要提高人们的环保意识。,[issue].,适用于六级作文/翻译中的“解决措施”功能。,2,CET6-Writing,76,P10.1.1 curated seed
制定规则,解决措施,Clear rules should be established to [goal].,应建立明确规则来[目标]。,Clear rules should be established to prevent academic cheating.,应制定明确规则以防止学术作弊。,[goal].,适用于六级作文/翻译中的“解决措施”功能。,2,CET6-Writing,77,P10.1.1 curated seed
鼓励参与,解决措施,More people should be encouraged to [action].,应鼓励更多人[行动]。,More people should be encouraged to take part in community service.,应鼓励更多人参与社区服务。,[action].,适用于六级作文/翻译中的“解决措施”功能。,2,CET6-Writing,78,P10.1.1 curated seed
提升能力,解决措施,Students need to improve their ability to [action].,学生需要提高[行动]的能力。,Students need to improve their ability to manage time effectively.,学生需要提升有效管理时间的能力。,[action].,适用于六级作文/翻译中的“解决措施”功能。,3,CET6-Writing,79,P10.1.1 curated seed
具体建议,解决措施,A practical solution is to [action].,一个实际可行的解决办法是[行动]。,A practical solution is to set aside a fixed period for deep reading every day.,一个实际的解决办法是每天留出固定时间进行深度阅读。,[action].,适用于六级作文/翻译中的“解决措施”功能。,3,CET6-Writing,80,P10.1.1 curated seed
总之,总结升华,"In conclusion, [summary].",总之，[总结]。,"In conclusion, reading plays an irreplaceable role in personal growth.",总之，阅读在个人成长中发挥着不可替代的作用。,[summary].,适用于六级作文/翻译中的“总结升华”功能。,1,CET6-Writing,81,P10.1.1 curated seed
概括来说,总结升华,"To sum up, [summary].",概括来说，[总结]。,"To sum up, technology should serve people rather than control them.",概括来说，技术应服务于人，而不是控制人。,[summary].,适用于六级作文/翻译中的“总结升华”功能。,1,CET6-Writing,82,P10.1.1 curated seed
只有这样,总结升华,Only in this way can we [goal].,只有这样，我们才能[目标]。,Only in this way can we make real progress in environmental protection.,只有这样，我们才能在环境保护方面取得真正进展。,[goal].,适用于六级作文/翻译中的“总结升华”功能。,1,CET6-Writing,83,P10.1.1 curated seed
展望未来,总结升华,"Looking ahead, [future expectation].",展望未来，[未来期待]。,"Looking ahead, online education will become more personalized and flexible.",展望未来，在线教育将变得更加个性化和灵活。,[future,适用于六级作文/翻译中的“总结升华”功能。,2,CET6-Writing,84,P10.1.1 curated seed
呼吁行动,总结升华,It is time for us to [action].,现在是我们[行动]的时候了。,It is time for us to pay more attention to mental health.,现在是我们更加关注心理健康的时候了。,[action].,适用于六级作文/翻译中的“总结升华”功能。,2,CET6-Writing,85,P10.1.1 curated seed
强调价值,总结升华,What truly matters is [value].,真正重要的是[价值]。,What truly matters is the courage to keep learning.,真正重要的是持续学习的勇气。,[value].,适用于六级作文/翻译中的“总结升华”功能。,2,CET6-Writing,86,P10.1.1 curated seed
长期意义,总结升华,The significance of [topic] goes far beyond [surface].,[话题]的意义远不止[表面层面]。,The significance of volunteer work goes far beyond helping others.,志愿服务的意义远不止帮助他人。,[topic]; [surface].,适用于六级作文/翻译中的“总结升华”功能。,2,CET6-Writing,87,P10.1.1 curated seed
保持平衡,总结升华,A balanced approach is the key to [goal].,平衡的方法是实现[目标]的关键。,A balanced approach is the key to using smartphones properly.,平衡的方法是正确使用智能手机的关键。,[goal].,适用于六级作文/翻译中的“总结升华”功能。,2,CET6-Writing,88,P10.1.1 curated seed
个人成长,总结升华,"Ultimately, [topic] is about [deeper meaning].",归根结底，[话题]关乎[更深意义]。,"Ultimately, education is about becoming a responsible and thoughtful person.",归根结底，教育关乎成为一个有责任感且善于思考的人。,[topic]; [deeper,适用于六级作文/翻译中的“总结升华”功能。,3,CET6-Writing,89,P10.1.1 curated seed
共同未来,总结升华,The future of [topic] depends on [condition].,[话题]的未来取决于[条件]。,The future of cultural exchange depends on openness and mutual respect.,文化交流的未来取决于开放和相互尊重。,[topic]; [condition].,适用于六级作文/翻译中的“总结升华”功能。,3,CET6-Writing,90,P10.1.1 curated seed
图表显示,图表描述,"As is shown in the chart, [trend/data].",如图表所示，[趋势/数据]。,"As is shown in the chart, online learning has increased steadily.",如图表所示，在线学习稳步增长。,[trend/data].,适用于六级作文/翻译中的“图表描述”功能。,1,CET6-Writing,91,P10.1.1 curated seed
明显趋势,图表描述,The chart clearly reveals a trend that [trend].,图表清楚显示出[趋势]。,The chart clearly reveals a trend that more students choose digital reading.,图表清楚显示出越来越多学生选择数字阅读的趋势。,[trend].,适用于六级作文/翻译中的“图表描述”功能。,1,CET6-Writing,92,P10.1.1 curated seed
数据上升,图表描述,The figure rose from [number A] to [number B].,该数据从[数字A]上升到[数字B]。,The figure rose from 35% to 68% within five years.,该数字在五年内从35%上升到68%。,[number; [number,适用于六级作文/翻译中的“图表描述”功能。,1,CET6-Writing,93,P10.1.1 curated seed
数据下降,图表描述,The figure dropped from [number A] to [number B].,该数据从[数字A]下降到[数字B]。,The figure dropped from 60% to 42% after new rules were introduced.,新规则实施后，该数字从60%下降到42%。,[number; [number,适用于六级作文/翻译中的“图表描述”功能。,2,CET6-Writing,94,P10.1.1 curated seed
占比最大,图表描述,[Item] accounts for the largest proportion.,[项目]占比最大。,Online courses account for the largest proportion.,在线课程占比最大。,[Item],适用于六级作文/翻译中的“图表描述”功能。,2,CET6-Writing,95,P10.1.1 curated seed
相比之下,图表描述,"By comparison, [item] takes up only [percentage].",相比之下，[项目]仅占[比例]。,"By comparison, printed newspapers take up only 12%.",相比之下，纸质报纸仅占12%。,[item]; [percentage].,适用于六级作文/翻译中的“图表描述”功能。,2,CET6-Writing,96,P10.1.1 curated seed
稳定增长,图表描述,There was a steady increase in [item].,[项目]出现稳定增长。,There was a steady increase in the number of students joining volunteer programs.,参加志愿服务项目的学生人数稳步增长。,[item].,适用于六级作文/翻译中的“图表描述”功能。,2,CET6-Writing,97,P10.1.1 curated seed
显著变化,图表描述,A significant change can be observed in [item].,[项目]可观察到显著变化。,A significant change can be observed in students' reading habits.,学生的阅读习惯出现了显著变化。,[item].,适用于六级作文/翻译中的“图表描述”功能。,2,CET6-Writing,98,P10.1.1 curated seed
原因解释,图表描述,This change may be explained by [reason].,这一变化可由[原因]解释。,This change may be explained by the convenience of mobile devices.,这一变化可以用移动设备的便利性来解释。,[reason].,适用于六级作文/翻译中的“图表描述”功能。,3,CET6-Writing,99,P10.1.1 curated seed
总结图表,图表描述,"Overall, the chart suggests that [conclusion].",总体来看，图表表明[结论]。,"Overall, the chart suggests that digital learning is becoming a mainstream choice.",总体来看，图表表明数字学习正在成为主流选择。,[conclusion].,适用于六级作文/翻译中的“图表描述”功能。,3,CET6-Writing,100,P10.1.1 curated seed
写信目的,书信表达,I am writing to [purpose].,我写信是为了[目的]。,I am writing to apply for the position of volunteer.,我写信是为了申请志愿者职位。,[purpose].,适用于六级作文/翻译中的“书信表达”功能。,1,CET6-Writing,101,P10.1.1 curated seed
表达感谢,书信表达,I would like to express my sincere gratitude for [thing].,我想对[事情]表达真诚感谢。,I would like to express my sincere gratitude for your generous help.,我想对你的慷慨帮助表达真诚感谢。,[thing].,适用于六级作文/翻译中的“书信表达”功能。,1,CET6-Writing,102,P10.1.1 curated seed
提出建议,书信表达,I would like to offer some suggestions concerning [issue].,关于[问题]，我想提出一些建议。,I would like to offer some suggestions concerning campus recycling.,我想就校园回收问题提出一些建议。,[issue].,适用于六级作文/翻译中的“书信表达”功能。,1,CET6-Writing,103,P10.1.1 curated seed
表达歉意,书信表达,I sincerely apologize for [problem].,我真诚地为[问题]道歉。,I sincerely apologize for the delay in replying to your email.,我真诚地为回复邮件的延迟道歉。,[problem].,适用于六级作文/翻译中的“书信表达”功能。,2,CET6-Writing,104,P10.1.1 curated seed
投诉开头,书信表达,I am writing to complain about [problem].,我写信是为了投诉[问题]。,I am writing to complain about the poor service of the online store.,我写信是为了投诉这家网店糟糕的服务。,[problem].,适用于六级作文/翻译中的“书信表达”功能。,2,CET6-Writing,105,P10.1.1 curated seed
询问信息,书信表达,I would appreciate it if you could provide me with more information about [topic].,如果您能提供更多关于[话题]的信息，我将不胜感激。,I would appreciate it if you could provide me with more information about the summer program.,如果你能提供更多关于暑期项目的信息，我将不胜感激。,[topic].,适用于六级作文/翻译中的“书信表达”功能。,2,CET6-Writing,106,P10.1.1 curated seed
期待回复,书信表达,I am looking forward to your early reply.,期待您的早日回复。,I am looking forward to your early reply.,我期待你的早日回复。,无,适用于六级作文/翻译中的“书信表达”功能。,2,CET6-Writing,107,P10.1.1 curated seed
给予帮助,书信表达,Please do not hesitate to contact me if you need any further information.,如需更多信息，请随时联系我。,Please do not hesitate to contact me if you need any further information.,如果你需要更多信息，请随时联系我。,无,适用于六级作文/翻译中的“书信表达”功能。,2,CET6-Writing,108,P10.1.1 curated seed
申请优势,书信表达,I believe I am qualified for [position] because [reason].,我相信我能胜任[职位]，因为[原因]。,I believe I am qualified for this position because I have relevant volunteer experience.,我认为我能胜任这个职位，因为我有相关志愿服务经验。,[position]; [reason].,适用于六级作文/翻译中的“书信表达”功能。,3,CET6-Writing,109,P10.1.1 curated seed
再次感谢,书信表达,"Once again, thank you for [thing].",再次感谢您[事情]。,"Once again, thank you for your patience and support.",再次感谢你的耐心和支持。,[thing].,适用于六级作文/翻译中的“书信表达”功能。,3,CET6-Writing,110,P10.1.1 curated seed
俗话说,名言引用,"As the saying goes, “[quote].”",俗话说：“[名言]。”,"As the saying goes, “Practice makes perfect.”",俗话说：“熟能生巧。”,“[quote].”,适用于六级作文/翻译中的“名言引用”功能。,1,CET6-Writing,111,P10.1.1 curated seed
正如名言,名言引用,"As a famous saying puts it, “[quote].”",正如一句名言所说：“[名言]。”,"As a famous saying puts it, “Where there is a will, there is a way.”",正如一句名言所说：“有志者事竟成。”,“[quote].”,适用于六级作文/翻译中的“名言引用”功能。,1,CET6-Writing,112,P10.1.1 curated seed
名言启示,名言引用,This saying reminds us that [lesson].,这句话提醒我们[启示]。,This saying reminds us that persistence is essential to success.,这句格言提醒我们，坚持对于成功至关重要。,[lesson].,适用于六级作文/翻译中的“名言引用”功能。,1,CET6-Writing,113,P10.1.1 curated seed
连接主题,名言引用,The wisdom behind this saying is closely related to [topic].,这句名言背后的智慧与[话题]密切相关。,The wisdom behind this saying is closely related to lifelong learning.,这句格言背后的智慧与终身学习密切相关。,[topic].,适用于六级作文/翻译中的“名言引用”功能。,2,CET6-Writing,114,P10.1.1 curated seed
谚语证明,名言引用,This proverb clearly shows the importance of [value].,这句谚语清楚表明[价值]的重要性。,This proverb clearly shows the importance of honesty.,这句谚语清楚显示了诚信的重要性。,[value].,适用于六级作文/翻译中的“名言引用”功能。,2,CET6-Writing,115,P10.1.1 curated seed
经典观点,名言引用,A classic idea is that [idea].,一个经典观点是[观点]。,A classic idea is that knowledge should be combined with practice.,一个经典观点是，知识应与实践相结合。,[idea].,适用于六级作文/翻译中的“名言引用”功能。,2,CET6-Writing,116,P10.1.1 curated seed
承接引用,名言引用,The quote is still meaningful today because [reason].,这句引言今天仍有意义，因为[原因]。,The quote is still meaningful today because young people face new forms of pressure.,这句名言在今天仍有意义，因为年轻人面临新的压力形式。,[reason].,适用于六级作文/翻译中的“名言引用”功能。,2,CET6-Writing,117,P10.1.1 curated seed
价值解释,名言引用,What this quote emphasizes is [value].,这句引言强调的是[价值]。,What this quote emphasizes is the value of perseverance.,这句名言强调的是坚持的价值。,[value].,适用于六级作文/翻译中的“名言引用”功能。,2,CET6-Writing,118,P10.1.1 curated seed
联系现实,名言引用,"In real life, this idea can be applied to [situation].",在现实生活中，这一观点可应用于[情境]。,"In real life, this idea can be applied to time management.",在现实生活中，这一观点可应用于时间管理。,[situation].,适用于六级作文/翻译中的“名言引用”功能。,3,CET6-Writing,119,P10.1.1 curated seed
结尾升华,名言引用,"Therefore, we should keep this wisdom in mind and [action].",因此，我们应牢记这一智慧并[行动]。,"Therefore, we should keep this wisdom in mind and take action in daily life.",因此，我们应牢记这一智慧，并在日常生活中采取行动。,[action].,适用于六级作文/翻译中的“名言引用”功能。,3,CET6-Writing,120,P10.1.1 curated seed
科技发展,主题素材,Technology is a double-edged sword that requires wise use.,科技是一把双刃剑，需要明智使用。,Technology is a double-edged sword that requires wise use.,科技是一把双刃剑，需要明智使用。,无,适用于六级作文/翻译中的“主题素材”功能。,1,CET6-Writing,121,P10.1.1 curated seed
环境保护,主题素材,Environmental protection is not a slogan but a responsibility shared by all.,环境保护不是口号，而是所有人共同承担的责任。,Environmental protection is not a slogan but a responsibility shared by all.,环境保护不是口号，而是所有人共同承担的责任。,无,适用于六级作文/翻译中的“主题素材”功能。,1,CET6-Writing,122,P10.1.1 curated seed
文化交流,主题素材,Cultural exchange enables people to understand differences and appreciate diversity.,文化交流使人们理解差异并欣赏多样性。,Cultural exchange enables people to understand differences and appreciate diversity.,文化交流使人们能够理解差异并欣赏多样性。,无,适用于六级作文/翻译中的“主题素材”功能。,1,CET6-Writing,123,P10.1.1 curated seed
志愿服务,主题素材,Volunteer work helps students develop empathy and social responsibility.,志愿服务帮助学生培养同理心和社会责任感。,Volunteer work helps students develop empathy and social responsibility.,志愿服务帮助学生培养同理心和社会责任感。,无,适用于六级作文/翻译中的“主题素材”功能。,2,CET6-Writing,124,P10.1.1 curated seed
阅读价值,主题素材,Reading broadens our horizons and deepens our understanding of the world.,阅读拓宽我们的视野并加深我们对世界的理解。,Reading broadens our horizons and deepens our understanding of the world.,阅读开阔我们的视野，并加深我们对世界的理解。,无,适用于六级作文/翻译中的“主题素材”功能。,2,CET6-Writing,125,P10.1.1 curated seed
心理健康,主题素材,Mental health deserves as much attention as physical health.,心理健康应和身体健康一样受到重视。,Mental health deserves as much attention as physical health.,心理健康和身体健康一样值得关注。,无,适用于六级作文/翻译中的“主题素材”功能。,2,CET6-Writing,126,P10.1.1 curated seed
团队合作,主题素材,"Teamwork teaches us how to communicate, cooperate and solve problems together.",团队合作教会我们如何沟通、协作并共同解决问题。,"Teamwork teaches us how to communicate, cooperate and solve problems together.",团队合作教会我们如何沟通、协作并共同解决问题。,无,适用于六级作文/翻译中的“主题素材”功能。,2,CET6-Writing,127,P10.1.1 curated seed
独立思考,主题素材,Independent thinking is essential in an age of information overload.,在信息过载时代，独立思考至关重要。,Independent thinking is essential in an age of information overload.,在信息过载的时代，独立思考至关重要。,无,适用于六级作文/翻译中的“主题素材”功能。,2,CET6-Writing,128,P10.1.1 curated seed
时间管理,主题素材,Good time management can turn pressure into steady progress.,良好的时间管理能把压力转化为稳定进步。,Good time management can turn pressure into steady progress.,良好的时间管理能把压力转化为稳定进步。,无,适用于六级作文/翻译中的“主题素材”功能。,3,CET6-Writing,129,P10.1.1 curated seed
终身学习,主题素材,Lifelong learning is the key to adapting to a changing society.,终身学习是适应变化社会的关键。,Lifelong learning is the key to adapting to a changing society.,终身学习是适应变化社会的关键。,无,适用于六级作文/翻译中的“主题素材”功能。,3,CET6-Writing,130,P10.1.1 curated seed
越来越重视,翻译常用表达,attach increasing importance to [something],越来越重视[某事],More families attach increasing importance to children's reading habits.,越来越多家庭重视孩子的阅读习惯。,[something],适用于六级作文/翻译中的“翻译常用表达”功能。,1,CET6-Writing,131,P10.1.1 curated seed
发挥重要作用,翻译常用表达,play an important role in [area],在[领域]发挥重要作用,Public libraries play an important role in community education.,公共图书馆在社区教育中发挥重要作用。,[area],适用于六级作文/翻译中的“翻译常用表达”功能。,1,CET6-Writing,132,P10.1.1 curated seed
为……做贡献,翻译常用表达,make contributions to [cause],为[事业]做贡献,Young people can make contributions to environmental protection through small daily actions.,年轻人可以通过日常小行动为环境保护做贡献。,[cause],适用于六级作文/翻译中的“翻译常用表达”功能。,1,CET6-Writing,133,P10.1.1 curated seed
促进发展,翻译常用表达,promote the development of [area],促进[领域]的发展,Digital technology can promote the development of rural education.,数字技术能够促进乡村教育的发展。,[area],适用于六级作文/翻译中的“翻译常用表达”功能。,2,CET6-Writing,134,P10.1.1 curated seed
满足需求,翻译常用表达,meet the needs of [group],满足[群体]的需求,Online services should meet the needs of elderly people.,在线服务应满足老年人的需求。,[group],适用于六级作文/翻译中的“翻译常用表达”功能。,2,CET6-Writing,135,P10.1.1 curated seed
提高意识,翻译常用表达,raise awareness of [issue],提高对[问题]的意识,Schools should raise awareness of academic integrity.,学校应提高学生的学术诚信意识。,[issue],适用于六级作文/翻译中的“翻译常用表达”功能。,2,CET6-Writing,136,P10.1.1 curated seed
面临挑战,翻译常用表达,be faced with [challenge],面临[挑战],Many graduates are faced with the challenge of career planning.,许多毕业生面临职业规划的挑战。,[challenge],适用于六级作文/翻译中的“翻译常用表达”功能。,2,CET6-Writing,137,P10.1.1 curated seed
采取行动,翻译常用表达,take action to [goal],采取行动去[目标],It is necessary to take action to protect personal information.,有必要采取行动保护个人信息。,[goal],适用于六级作文/翻译中的“翻译常用表达”功能。,2,CET6-Writing,138,P10.1.1 curated seed
充分利用,翻译常用表达,make full use of [resource],充分利用[资源],Students should make full use of campus learning resources.,学生应充分利用校园学习资源。,[resource],适用于六级作文/翻译中的“翻译常用表达”功能。,3,CET6-Writing,139,P10.1.1 curated seed
有助于,翻译常用表达,contribute to [positive result],有助于[积极结果],Regular exercise can contribute to better mental health.,规律运动有助于更好的心理健康。,[positive result],适用于六级作文/翻译中的“翻译常用表达”功能。,3,CET6-Writing,140,P10.1.1 curated seed
