source_order,lesson,word,phonetic,meaning_cn,example_en,example_cn,tag
315,2,scarce,,a. 缺乏的；罕见的；稀少的,,,CET6-Lesson2
316,2,elite,,n. [总称]上层人士；精英,,,CET6-Lesson2
317,2,graduate,,n. （尤指大学）毕业生；研究生；v.（使）毕业；n.毕业,,,CET6-Lesson2
318,2,plausible,,a. 似有道理的,,,CET6-Lesson2
319,2,feedback,,n. 反馈，反馈信息,,,CET6-Lesson2
320,2,enhance,,vt. 提高，增加，加强,,,CET6-Lesson2
321,2,reckon,,vt. 认为；（on）指望；测算,,,CET6-Lesson2
322,2,status,,n. 地位，身份；情形，状况,,,CET6-Lesson2
323,2,signify,,vt. 表示…的意思，预示；意味,,,CET6-Lesson2
324,2,talent,,n. 才能，天资；人才,,,CET6-Lesson2
325,2,ambition,,n. 抱负，祈望得到的东西，雄心，野心,,,CET6-Lesson2
326,2,paradox,,n. 似乎矛盾而（可能）正确的说法； 自相矛盾的人（或事物）,,,CET6-Lesson2
327,2,significance,,n. 意义；重要性,,,CET6-Lesson2
328,2,competent,,a. 有能力的，能胜任的,,,CET6-Lesson2
329,2,stake,,n. 桩，标桩；利害关系，股份； 赌本，赌注 vt. 以…打赌，拿…冒险,,,CET6-Lesson2
330,2,competitive,,a. 竞争的，比赛的；好竞争的； （价格等）有竞争力的,,,CET6-Lesson2
331,2,adjust,,vt. 校正，校准，调整；调节，改变…以适应 vi. （to）适应,,,CET6-Lesson2
332,2,destructive,,a. 破坏（性）的，毁灭的,,,CET6-Lesson2
333,2,impose,,vt. （on）把…强加于； 征（税等），处以（罚款、监禁等）,,,CET6-Lesson2
334,2,intensive,,a. 加强的，集中的，密集的； 精工细作的，集约的,,,CET6-Lesson2
335,2,attractive,,a. 有吸引力的,,,CET6-Lesson2
336,2,scholarship,,n. 奖学金；学问,,,CET6-Lesson2
337,2,enrol(l),,"vi. （in, on）入学，加入 vt. 招收，吸收",,,CET6-Lesson2
338,2,guarantee,,vt. 保证 n. 保证书,,,CET6-Lesson2
339,2,connection/-exion,,n. 联系；连接（部分），衔接； [pl.]熟人，关系（户）,,,CET6-Lesson2
340,2,sustain,,vt. 保持，使持续下去； 供养，维持（生命等）； 支持，支撑；经受，遭受,,,CET6-Lesson2
341,2,peer,,n. 同龄人；贵族 vt. 仔细看,,,CET6-Lesson2
342,2,institution,,n. （教育、慈善等）社会公共机构； 制度，习俗；设立，创立，制定,,,CET6-Lesson2
343,2,emphasize/-ise,,vt. 强调,,,CET6-Lesson2
344,2,qualification,,n. 资格，资格证明，合格证书； 限制，限定，限定性条件,,,CET6-Lesson2
345,2,obvious,,a. 显然的，明显的,,,CET6-Lesson2
346,2,entrepreneur,,n. 企业家,,,CET6-Lesson2
347,2,issue,,n. 问题；发行，（报刊的）一期；分发 vt. 颁布，出版；分发，发给 vi. 流出,,,CET6-Lesson2
348,2,extension,,n. 伸出，扩大；延长部分，扩大部分，扩建部分；电话分机,,,CET6-Lesson2
349,2,expertise,,n.专门知识，专长,,,CET6-Lesson2
350,2,circumstance,,n. 环境，条件，形势；pl.境况，经济状况,,,CET6-Lesson2
351,2,contrast,,n. 对比，对照；反差；vt. 对比，对照 ；vi.（with）形成对比,,,CET6-Lesson2
352,2,objection,,n. 反对，异议，反对的理由,,,CET6-Lesson2
353,2,signal,,n. 信号；标志，表示 vt. 向…发信号；标志着；vi. 发信号 a. 显著的,,,CET6-Lesson2
354,2,immigrant,,n. 移民，侨民,,,CET6-Lesson2
355,2,hover,,vi. （鸟等）翱翔，盘旋； 逗留在近旁，徘徊；彷徨，犹豫,,,CET6-Lesson2
356,2,amplify,,vt. 放大（声音等），增强； 扩大，详述，进一步阐述,,,CET6-Lesson2
357,2,intensify,,v. （使）增强,,,CET6-Lesson2
358,2,circuit,,n. 电路，线路；环行,,,CET6-Lesson2
359,2,trait,,n. 特征，特点，特性,,,CET6-Lesson2
360,2,route,,n. 路程，路线,,,CET6-Lesson2
361,2,kidnap,,vt. 绑架，诱拐,,,CET6-Lesson2
362,2,convey,,vt. 表达，传达；运送,,,CET6-Lesson2
363,2,lure,,vt. 吸引；诱惑 n. 吸引力，诱惑物；诱饵,,,CET6-Lesson2
364,2,instal(l),,vt. 安装；使就职,,,CET6-Lesson2
365,2,confer,,vi. 商谈 vt. （on）授予，赋予,,,CET6-Lesson2
366,2,infer,,vt. 推论，推断,,,CET6-Lesson2
367,2,verify,,vt. 核实，查对；证明，证实,,,CET6-Lesson2
368,2,quota,,n. 定额，限额，配额,,,CET6-Lesson2
369,2,scale,,n. 规模，大小；等级；pl.天平，磅秤；比例（尺）； 刻度，标度；（鱼等的）鳞 vt. 攀登,,,CET6-Lesson2
370,2,invariably,,ad. 不变地，总是,,,CET6-Lesson2
371,2,literally,,ad. 逐字地；确实地；简直,,,CET6-Lesson2
372,2,barely,,ad. 仅仅，只不过，几乎不,,,CET6-Lesson2
373,2,sole,,a. 单独的，唯一的；独有的,,,CET6-Lesson2
374,2,repel,,vt. 使厌恶；击退，逐回；排斥,,,CET6-Lesson2
375,2,combat,,n. 战斗 vt. 与…斗争,,,CET6-Lesson2
376,2,abolish,,vt. 彻底废除，废止,,,CET6-Lesson2
377,2,initiative,,n. 主动性，首创精神； 主动的行动，倡议；主动权,,,CET6-Lesson2
378,2,impulse,,n. 冲动；推动；脉冲,,,CET6-Lesson2
379,2,heritage,,n. 遗产，传统,,,CET6-Lesson2
380,2,revision,,n. 修订；修订本；复习,,,CET6-Lesson2
381,2,notion,,n. 概念；意图，想法,,,CET6-Lesson2
382,2,version,,n. 版本，译本；说法,,,CET6-Lesson2
383,2,aggressive,,a. 侵犯的，侵略的，挑衅的； 敢做敢为的，有进取心的,,,CET6-Lesson2
384,3,automatic,,a. 自动的；不假思索的，无意识的,,,CET6-Lesson3
385,3,vulnerable,,a. 易受伤的，脆弱的；易受攻击的，难防御的,,,CET6-Lesson3
386,3,voluntary,,a. 自愿的，志愿的,,,CET6-Lesson3
387,3,fascinate,,vt. 强烈地吸引，迷住,,,CET6-Lesson3
388,3,dismiss,,vt. 不再考虑，不接受；免…职，解雇，开除；解散，遣散,,,CET6-Lesson3
389,3,professional,,a. 职业的,,,CET6-Lesson3
390,3,amateur,,n. 业余爱好者；外行 a. 业余爱好的，业余（身份）的；外行的,,,CET6-Lesson3
391,3,prospect,,n. 前景；景象,,,CET6-Lesson3
392,3,suspicion,,n. 怀疑；少量,,,CET6-Lesson3
393,3,outcome,,n. 结果,,,CET6-Lesson3
394,3,partial,,a. 部分的，不完全的；（to）偏爱的； （to）偏向一方的，偏心的,,,CET6-Lesson3
395,3,dedicate,,vt. 题献词于上； （to）把…献给，把（时间、精力等）用于,,,CET6-Lesson3
396,3,poetry,,n. 诗篇，诗歌，诗集,,,CET6-Lesson3
397,3,unique,,a. 唯一的，独特的,,,CET6-Lesson3
398,3,chemical,,a. 化学的 n. 化学制品,,,CET6-Lesson3
399,3,prosperity,,n. 兴旺，繁荣,,,CET6-Lesson3
400,3,digital,,a. 数字的，数字显示的,,,CET6-Lesson3
401,3,denial,,n. 否认；拒绝，拒绝给予,,,CET6-Lesson3
402,3,conservation,,n. 保存,,,CET6-Lesson3
403,3,efficiency,,n. 效率，功效,,,CET6-Lesson3
404,3,fraction,,n. 小部分，片断；分数,,,CET6-Lesson3
405,3,pump,,n. 泵 vt. （用泵）抽（水），打气,,,CET6-Lesson3
406,3,wrap,,vt. 包，裹 n. 披肩，围巾,,,CET6-Lesson3
407,3,slash,,vt.砍；大幅度削减 n.斜线号,,,CET6-Lesson3
408,3,bonus,,n. 奖金；额外给予的东西,,,CET6-Lesson3
409,3,annual,,a. 每年的 n. 年报,,,CET6-Lesson3
410,3,metric,,a. 公制的，米制的,,,CET6-Lesson3
411,3,saving,,n. 节省；pl.储蓄金,,,CET6-Lesson3
412,3,profitable,,"a. 有利可图的,有益的",,,CET6-Lesson3
413,3,immense,,a. 广大的，巨大的,,,CET6-Lesson3
414,3,investment,,n. 投资，投资额；（时间、精力等的）投入,,,CET6-Lesson3
415,3,agenda,,n. 议事日程,,,CET6-Lesson3
416,3,union,,n. 工会，联盟；结合，联合，合并； 团结，一致，融洽,,,CET6-Lesson3
417,3,impact,,n./v. 影响；冲击,,,CET6-Lesson3
418,3,insulate,,vt. 使绝缘；隔离,,,CET6-Lesson3
419,3,virtually,,ad. 实际上，事实上,,,CET6-Lesson3
420,3,surge,,vi. （人群等）蜂拥而出；（感情等）洋溢 n. （感情等的）洋溢；急剧上升,,,CET6-Lesson3
421,3,advanced,,a. 先进的；高级的；年迈的,,,CET6-Lesson3
422,3,eliminate,,vt. 排除；淘汰,,,CET6-Lesson3
423,3,utility,,n. 功用；常pl.公用事业,,,CET6-Lesson3
424,3,productivity,,n. 生产力；生产率,,,CET6-Lesson3
425,3,equivalent,,a. 相等的，等价的，相当的 n. 相等物，等价物，意义相同的词,,,CET6-Lesson3
426,3,consume,,vt. 消耗，花费；吃（完），喝（光）； （with）使着迷，充满,,,CET6-Lesson3
427,3,compact,,a. 紧凑的，小巧的；紧密的，坚实的 vt. 把…压实（或塞紧），使坚实 n. 契约，合同,,,CET6-Lesson3
428,3,output,,n. 产量；输出，输出功率 vt. 输出（信息、数据等）,,,CET6-Lesson3
429,3,atmosphere,,n. 大气；气氛,,,CET6-Lesson3
430,3,notorious,,a. 臭名昭著的,,,CET6-Lesson3
431,3,alter,,v. 改变，改动，变更,,,CET6-Lesson3
432,3,equation,,n. 方程（式），等式,,,CET6-Lesson3
433,3,reverse,,vt. 撤销；使位置颠倒；使反向 vi. 倒转，反向 n. 相反情况；反面；挫折 a. 相反的,,,CET6-Lesson3
434,3,residential,,a. 居住的，住宅的； （学生）寄宿的，（须）住宿在住所的,,,CET6-Lesson3
435,3,conventional,,a. 普通的，习惯的，常规的；符合习俗的，因循守旧的,,,CET6-Lesson3
436,3,decisive,,a. 决定性的；坚定的,,,CET6-Lesson3
437,3,boost,,vt. 提高，使增涨；推动，激励； 替…作广告，宣扬 n. 提高，增涨；推动，激励,,,CET6-Lesson3
438,3,household,,n. 家庭 a. 家庭的，家用的，普通的；家喻户晓的,,,CET6-Lesson3
439,3,consumer,,n. 消费者，用户,,,CET6-Lesson3
440,3,consumption,,n. 消耗量，消费量；消耗，消费，挥霍,,,CET6-Lesson3
441,3,flexible,,a. 易弯曲的；灵活的,,,CET6-Lesson3
442,3,payment,,n. 支付的款项；支付,,,CET6-Lesson3
443,3,thermal,,a. 热的；保暖的,,,CET6-Lesson3
444,3,specialize/-ise,,vi. 专攻,,,CET6-Lesson3
445,3,furnace,,n. 熔炉，火炉,,,CET6-Lesson3
446,3,initial,,a. 开始的，最初的 n. 常pl.（姓名等的）首字母,,,CET6-Lesson3
447,3,psychology,,n. 心理学；心理,,,CET6-Lesson3
448,3,tend,,vi. 往往会；趋向 vt. 照管,,,CET6-Lesson3
449,3,tag,,n. 标签，标牌 vt. 给…加上标签,,,CET6-Lesson3
450,3,landlord,,n. 地主，房东，店主,,,CET6-Lesson3
451,3,associate,,vt. （在思想上）把…联系在一起； 使联合，使有联系 vi. （with）结交，交往 n. 伙伴 a. 副的,,,CET6-Lesson3
452,3,label,,n. 标签，标记；称号 vt. 贴标签于；把…称为,,,CET6-Lesson3
453,3,detail,,n. 细节，详情；枝节，琐事 vt. 详述，详细说明；列举,,,CET6-Lesson3
454,3,incentive,,n. 刺激，鼓励,,,CET6-Lesson3
455,3,option,,n. 选择；选择权，选择自由； （供）选择的事物（或人），选课,,,CET6-Lesson3
456,3,buck,,n. （一）美元，（一）澳元,,,CET6-Lesson3
457,3,conserve,,vt. 保护，保存,,,CET6-Lesson3
458,3,convert,,v. （使）转变；改变信仰,,,CET6-Lesson3
459,3,portion,,n. 一部分；一份 vt. （out）分配,,,CET6-Lesson3
460,3,implement,,vt. 使生效，履行，实施 n. 工具，器具,,,CET6-Lesson3
461,3,derive,,vt. 取得，得到；追溯…的起源（或来由） vi. （from）起源，衍生,,,CET6-Lesson3
462,3,original,,a. 起初的，原来的；独创的，新颖的； 原版的，原件的 n. 原件，原作,,,CET6-Lesson3
463,3,compromise,,n. 妥协，折中办法 vi. 妥协 vt. 危及，放弃（原则、理想等）,,,CET6-Lesson3
464,3,colleague,,n. 同事，同僚,,,CET6-Lesson3
465,3,keen,,a. （on）热心的；敏锐的，敏捷的,,,CET6-Lesson3
466,3,inform,,vt. 通知 vi. 告发,,,CET6-Lesson3
467,3,mechanic,,n. 技工；-s力学，机械学； pl.（制作或操作的）过程，方法,,,CET6-Lesson3
468,3,consultant,,n. 顾问，会诊医师,,,CET6-Lesson3
469,3,gear,,n. 齿轮，传动装置； （从事某项活动所需的）用具，设备，衣服 vt. 使适应,,,CET6-Lesson3
470,3,clutch,,vi. （at）企图抓住 vt. 抓紧 n. 离合器；常pl.掌握；把握,,,CET6-Lesson3
471,3,slip,,vi. 滑（倒），滑落；溜走；下降，跌落 vt. 悄悄放进 n. 疏漏，差错,,,CET6-Lesson3
472,3,lounge,,n. 休息厅，休息室 vi. （懒洋洋地）倚，（懒散地）躺； 闲逛，闲荡,,,CET6-Lesson3
473,3,cozy/cosy,,a. （暖和）舒适的；亲切友好的,,,CET6-Lesson3
474,3,scratch,,v. 抓，搔，扒；刮擦，刻划 n. 抓，搔，刮；抓痕，划痕,,,CET6-Lesson3
475,3,mosquito,,n. 蚊子,,,CET6-Lesson3
476,3,precaution,,n. 预防，警惕,,,CET6-Lesson3
477,3,sleeve,,n. 袖子,,,CET6-Lesson3
478,3,leather,,n. 皮革，皮革制品,,,CET6-Lesson3
479,3,resort,,n. 常去之地，胜地,,,CET6-Lesson3
480,3,employee,,n. 受雇者，雇工，雇员,,,CET6-Lesson3
481,3,agent,,n. 代理人，代理商，经纪人； 政府特工人员，政府代表；动因，原因；剂,,,CET6-Lesson3
482,3,steady,,a. 稳的，平稳的；稳定的，持续的； 稳重的，坚定的 v. （使）平稳，（使）稳定,,,CET6-Lesson3
483,3,drama,,n. 戏，剧本；戏剧（艺术）,,,CET6-Lesson3
484,3,respond,,vi. 回答；（to）做出反应,,,CET6-Lesson3
485,3,concentrate,,vi. 全神贯注，全力以赴；集中，聚集 vt. 集中，聚集；浓缩,,,CET6-Lesson3
486,3,promote,,vt. 促进，增进，发扬；提升，提拔； 宣传，推销（商品等）,,,CET6-Lesson3
487,3,strengthen,,vt. 加强，巩固,,,CET6-Lesson3
488,3,passive,,a. 被动的，消极的,,,CET6-Lesson3
489,3,skeptical/sceptical,,a. 表示怀疑的,,,CET6-Lesson3
490,3,haunt,,vt. 常出没于；使苦恼； （思想、回忆等）萦绕在心头 n. 常去的地方,,,CET6-Lesson3
491,3,vanish,,vi. 突然不见；不复存在,,,CET6-Lesson3
492,3,blank,,a. 空白的，空着的；茫然的，无表情的 n. 空白（处）；空白表格,,,CET6-Lesson3
493,3,proposal,,n. 提议，建议；求婚,,,CET6-Lesson3
494,3,reality,,n. 现实，实际；真实,,,CET6-Lesson3
495,3,integrate,,v. （使）成为一体,,,CET6-Lesson3
496,3,upgrade,,vt. 提升，使升级 n. 向上的斜坡,,,CET6-Lesson3
497,3,distribution,,n. 分发，分配；散布，分布,,,CET6-Lesson3
498,3,freight,,n. （运输中的）货物，货运 vt. 运送（货物），装货于（船等）,,,CET6-Lesson3
499,3,executive,,n. 主管，高级行政人员； （政府的）行政部门 a. 执行的，行政的,,,CET6-Lesson3
500,3,calculate,,vt. 计算；计划,,,CET6-Lesson3
501,3,jam,,n. 果酱；拥挤 vt. 将…塞进，堵塞,,,CET6-Lesson3
502,3,reform,,vt. 改革，改良，改造 vi. 改正，改过自新 n. 改革，改良，改造,,,CET6-Lesson3
503,3,bankrupt,,a. 破产的，彻底失败的；彻底缺乏的 vt. 使破产，使枯竭,,,CET6-Lesson3
504,3,physician,,n. 内科医生,,,CET6-Lesson3
505,3,priest,,n. 神父，牧师,,,CET6-Lesson3
506,3,recovery,,n. 恢复；追回,,,CET6-Lesson3
507,3,expectation,,n. 期待，预期；pl.前程，成功的前景,,,CET6-Lesson3
508,3,substance,,n. 物质；实质；大意，要旨；根据，理由,,,CET6-Lesson3
509,3,positive,,a. 确实的；积极的；正的,,,CET6-Lesson3
510,3,indicate,,vt. 标示；表明,,,CET6-Lesson3
511,3,integral,,a. 构成整体所必需的,,,CET6-Lesson3
512,3,division,,n. 分，分开，分隔；分配，分担； 分歧，分裂；除（法）；部门,,,CET6-Lesson3
513,3,profession,,n. 职业，自由职业,,,CET6-Lesson3
514,3,fame,,n. 声誉，名望，名声,,,CET6-Lesson3
515,3,abuse,,n./vt. 滥用，妄用；虐待，伤害；辱骂，毁谤,,,CET6-Lesson3
516,3,effective,,a. 有效的,,,CET6-Lesson3
517,3,remedy,,n. 补救办法，纠正办法； 药品，治疗法 vt. 补救，纠正；医治，治疗,,,CET6-Lesson3
518,3,extreme,,a. 极度的，极端的；尽头的，末端的 n. 极端，过分,,,CET6-Lesson3
519,3,sensation,,n. （感官的）感觉能力；感觉； 轰动，引起轰动的事件（或人物）,,,CET6-Lesson3
520,3,emotion,,n. 情感，感情，激情,,,CET6-Lesson3
521,3,horror,,n. 恐怖；憎恶；令人恐怖的事物（或人）,,,CET6-Lesson3
522,3,involve,,vt. 包含；使卷入；牵涉,,,CET6-Lesson3
523,3,defy,,vt. 违抗；使成为不可能；挑,,,CET6-Lesson3
524,3,indulge,,vt. 使…沉溺于，满足（自己的欲望等）；纵容 vi. （in）沉溺，纵容自己,,,CET6-Lesson3
525,3,fake,,n. 假货，赝品；骗子，冒充者 a. 假的，伪造的，冒充的 vt. 伪造，捏造；伪装,,,CET6-Lesson3
526,3,occasional,,a. 偶尔的,,,CET6-Lesson3
527,3,remark,,vt./vi 说，评论 n. 话语,,,CET6-Lesson3
528,3,vague,,a. 含糊的，模糊的,,,CET6-Lesson3
529,3,private,,a. 私人的，个人的；秘密的，私下的； 私立的，私营的 n. 士兵，列兵,,,CET6-Lesson3
530,3,expose,,vt. 暴露，显露；（to）使处于…作用（或影响）之下，曝光,,,CET6-Lesson3
531,3,sensitive,,a. 敏感的，灵敏的；神经过敏的，容易生气的； 易受伤害的,,,CET6-Lesson3
532,3,cue,,n. 暗示，信号；提示 vt. 提示，暗示,,,CET6-Lesson3
533,3,betray,,vt. 背叛，出卖；失信于，辜负；泄露（秘密等）； （非故意地）暴露，显露,,,CET6-Lesson3
534,3,negotiate,,vt. 洽谈，协商；顺利通过，成功越过vi. 协商，谈判,,,CET6-Lesson3
535,3,exclude,,vt. 把…排斥在外,,,CET6-Lesson3
536,3,evident,,a. 明显的，明白的,,,CET6-Lesson3
537,3,corporate,,a. 公司的；全体的,,,CET6-Lesson3
538,3,specialist,,n. 专家,,,CET6-Lesson3
539,3,opportunity,,n. 机会,,,CET6-Lesson3
540,3,equip,,vt. 装备；使有准备,,,CET6-Lesson3
541,3,initiate,,vt. 开始，创始；使初步了解；接纳（新成员） n. 新加入组织的人,,,CET6-Lesson3
542,3,internal,,a. 内的，内部的；国内的，内政的；内心的,,,CET6-Lesson3
543,3,campaign,,n. 运动，宣传活动；战役 vi. 参加（或发起）运动，参加竞选,,,CET6-Lesson3
544,3,shift,,v. 移动；改变 n. 转换；（轮）班,,,CET6-Lesson3
545,3,benefit,,n. 益处，好处；救济金，保险金 vt. 有益于vi. 得益,,,CET6-Lesson3
546,3,schedule,,n. 时刻表，日程安排表；清单，明细表 vt. 安排，排定,,,CET6-Lesson3
547,3,cope,,vi. （with）（成功地）应付，处理,,,CET6-Lesson3
548,3,occupation,,n. 工作，职业；（人）从事的活动，消遣； 占领，占据,,,CET6-Lesson3
549,3,gauge,,n. 测量仪表；（标准）规格，尺度 vt. 估计，判断；计量，度量,,,CET6-Lesson3
550,3,suspect,,vt. 推测；对…表示怀疑 n. 嫌疑犯，可疑分子 a. 可疑的,,,CET6-Lesson3
551,3,acquaintance,,n. 相识的人，熟人；认识，相识，了解,,,CET6-Lesson3
552,3,inferior,,a. 劣等的，下级的 n. 下级,,,CET6-Lesson3
553,3,treatment,,n. 治疗；对待,,,CET6-Lesson3
554,3,tone,,n. 腔调；音，音调 vt. （up）增强,,,CET6-Lesson3
555,3,assume,,vt. 假定，假设，臆断；承担，担任，就职； 呈现，具有，采取,,,CET6-Lesson3
556,3,cordial,,a. 热情友好的，热诚的,,,CET6-Lesson3
557,3,representative,,n. 代表，代理人 a. （of）有代表性的，典型的,,,CET6-Lesson3
558,3,courtesy,,n. 谦恭有礼，有礼貌的举止（或言辞）,,,CET6-Lesson3
559,3,fortunately,,ad. 幸运地，幸亏,,,CET6-Lesson3
560,3,definition,,n. 定义；清晰度,,,CET6-Lesson3
561,3,cater,,"vi. （for, to）满足需要，迎合",,,CET6-Lesson3
562,3,manual,,a. 用手的，手工的，体力的 n. 手册,,,CET6-Lesson3
563,3,intend,,vt. 想要，打算，计划；打算使（成为），想让…做,,,CET6-Lesson3
564,3,absorb,,vt. 吸收；使全神贯注；吸引…的注意,,,CET6-Lesson3
565,3,absent,,a. 缺席的，不在场的；缺乏的，不存在的； 心不在焉的，出神的,,,CET6-Lesson3
566,4,mere,,a. 仅仅的，只不过的；纯粹的,,,CET6-Lesson4
567,4,embarrass,,vt. 使窘，使尴尬,,,CET6-Lesson4
568,4,destined,,a. 命中注定的，预定的； （for）以…为目的地的,,,CET6-Lesson4
569,4,arouse,,vt. 引起，激起，唤起；唤醒,,,CET6-Lesson4
570,4,sympathy,,n. 同情，同情心； （思想感情上的）支持，赞同,,,CET6-Lesson4
571,4,humble,,a. 谦逊的； 地位（或身份）低下的，卑贱的；简陋的 vt. 使谦恭,,,CET6-Lesson4
572,4,hunt,,n./v. 打猎；搜寻；驱逐，追逐,,,CET6-Lesson4
573,4,fate,,n. 命运,,,CET6-Lesson4
574,4,column,,n. 柱，圆柱；纵队；专栏,,,CET6-Lesson4
575,4,core,,n. 果心；核心，要点,,,CET6-Lesson4
576,4,echo,,n. 回音，回声，共鸣 vi. 发出回声，产生共鸣 vt. 模仿，重复，附和,,,CET6-Lesson4
577,4,outrage,,n. 义愤，愤慨；暴行，骇人听闻的事件 vt. 激起…的义愤，激怒,,,CET6-Lesson4
578,4,coverage,,n. 新闻报道；覆盖范围,,,CET6-Lesson4
579,4,former,,a. 以前的 n. (the ~)前者,,,CET6-Lesson4
580,4,politics,,n. 政治，政治学；政纲,,,CET6-Lesson4
581,4,given,,a. 假设的，已知的,,,CET6-Lesson4
582,4,congress,,n. 代表大会；国会，议会,,,CET6-Lesson4
583,4,wage,,n. (常pl.)工资 vt. 开始,,,CET6-Lesson4
584,4,governor,,n.地方长官；州长；主管,,,CET6-Lesson4
585,4,solidarity,,n. 团结一致,,,CET6-Lesson4
586,4,obstacle,,n. 障碍（物），妨碍,,,CET6-Lesson4
587,4,reciprocal,,a. 相互的，互惠的,,,CET6-Lesson4
588,4,allocate,,vt. 分配，分派,,,CET6-Lesson4
589,4,conflict,,n. 冲突，抵触，争论；战斗，战争 vi. 冲突，抵触,,,CET6-Lesson4
590,4,welfare,,n. 福利；福利救济,,,CET6-Lesson4
591,4,despite,,prep. 不管，尽管,,,CET6-Lesson4
592,4,conscious,,a. 意识到的；神志清醒的；自觉的；有意的,,,CET6-Lesson4
593,4,contribute,,vi. 捐款，做出贡献； （to）有助于，促成；投稿 vt. 捐，捐献,,,CET6-Lesson4
594,4,threaten,,vt. 威胁，恐吓；预示（危险）快要来临 vi. 构成威胁，可能发生,,,CET6-Lesson4
595,4,barrier,,n. 栅栏，关卡；障碍,,,CET6-Lesson4
596,4,mathematical,,a. 数学（上）的,,,CET6-Lesson4
597,4,physicist,,n. 物理学家,,,CET6-Lesson4
598,4,relativity,,n. 相对论；相关性,,,CET6-Lesson4
599,4,triumph,,n. 胜利，成功；（胜利或成功的）喜悦 vi. 获胜，得胜，成功,,,CET6-Lesson4
600,4,anxiety,,n. 焦虑，挂虑；渴望,,,CET6-Lesson4
601,4,concept,,n. 概念，观念，思想,,,CET6-Lesson4
602,4,gravity,,n. 重力；严重；严肃,,,CET6-Lesson4
603,4,curve,,n. 曲线，弧线；弯曲部，弯曲处 v. （使）弯曲，（使）成曲线,,,CET6-Lesson4
604,4,flaw,,n. 缺点，瑕疵，缺陷,,,CET6-Lesson4
605,4,learned,,a. 有学问的，博学的；学术的,,,CET6-Lesson4
606,4,frantic,,a. 慌乱不安的，紧张纷乱的； （因恐惧、焦急等）发疯似的，发狂的,,,CET6-Lesson4
607,4,endeavo(u)r,,vt./n. 努力，尝试,,,CET6-Lesson4
608,4,proof,,n. 证据；校样 a. 耐…的,,,CET6-Lesson4
609,4,update,,vt. 更新，使现代化 n. 最新信息,,,CET6-Lesson4
610,4,academy,,n. 研究院，学会；（中等以上）专门学校,,,CET6-Lesson4
611,4,precise,,a. 精确的，准确的；严谨的,,,CET6-Lesson4
612,4,engage,,vt. 吸引，占用（时间、精力等）； 从事于；雇，聘；使订婚 vi. （in）参加,,,CET6-Lesson4
613,4,awkward,,a. 尴尬的，棘手的；难操纵的，使用不便的； 笨拙的，不灵巧的,,,CET6-Lesson4
614,4,convince,,vt. 使确信，使信服,,,CET6-Lesson4
615,4,counsel,,n. 律师，法律顾问；忠告，劝告 vt. 劝告，提议,,,CET6-Lesson4
616,4,preach,,vt. 宣讲（教义），布（道）；竭力鼓吹，宣传 vi. 布道，说教,,,CET6-Lesson4
617,4,amid,,prep. 在…中间，在…之中,,,CET6-Lesson4
618,4,emit,,vt. 发出（光、热、声音等），射出,,,CET6-Lesson4
619,4,emerge,,vi. 出现，暴露，（from）浮现；发生,,,CET6-Lesson4
620,4,submerge,,vi. 潜入水中 vt. 浸没，淹没,,,CET6-Lesson4
621,4,imitate,,vt. 模仿；仿制，仿造,,,CET6-Lesson4
622,4,ascribe,,vt. （to）把…归因于，把…归属于,,,CET6-Lesson4
623,4,resolve,,vt. 解决，解答；决定，决意； （into）分解 vi. 决定，决意 n. 决心，决意,,,CET6-Lesson4
624,4,contest,,n. 竞赛，比赛；争夺，竞争 vt. 争夺；对…提出质疑,,,CET6-Lesson4
625,4,contend,,vi. 争夺；争夺；搏斗 vt. 声称,,,CET6-Lesson4
626,4,compatible,,a. 兼容的；合得来的,,,CET6-Lesson4
627,4,comparative,,a. 比较的，相对的,,,CET6-Lesson4
